"Nombre","Código ","Numero Municipio"
"MEDELLÍN","05","05001"
"ABEJORRAL","05","05002"
"ABRIAQUÍ","05","05004"
"ALEJANDRÍA","05","05021"
"AMAGÁ","05","05030"
"AMALFI","05","05031"
"ANDES","05","05034"
"ANGELÓPOLIS","05","05036"
"ANGOSTURA","05","05038"
"ANORÍ","05","05040"
"SANTA FÉ DE ANTIOQUIA","05","05042"
"ANZÁ","05","05044"
"APARTADÓ","05","05045"
"ARBOLETES","05","05051"
"ARGELIA","05","05055"
"ARMENIA","05","05059"
"BARBOSA","05","05079"
"BELMIRA","05","05086"
"BELLO","05","05088"
"BETANIA","05","05091"
"BETULIA","05","05093"
"CIUDAD BOLÍVAR","05","05101"
"BRICEÑO","05","05107"
"BURITICÁ","05","05113"
"CÁCERES","05","05120"
"CAICEDO","05","05125"
"CALDAS","05","05129"
"CAMPAMENTO","05","05134"
"CAÑASGORDAS","05","05138"
"CARACOLÍ","05","05142"
"CARAMANTA","05","05145"
"CAREPA","05","05147"
"EL CARMEN DE VIBORAL","05","05148"
"CAROLINA","05","05150"
"CAUCASIA","05","05154"
"CHIGORODÓ","05","05172"
"CISNEROS","05","05190"
"COCORNÁ","05","05197"
"CONCEPCIÓN","05","05206"
"CONCORDIA","05","05209"
"COPACABANA","05","05212"
"DABEIBA","05","05234"
"DONMATÍAS","05","05237"
"EBÉJICO","05","05240"
"EL BAGRE","05","05250"
"ENTRERRÍOS","05","05264"
"ENVIGADO","05","05266"
"FREDONIA","05","05282"
"FRONTINO","05","05284"
"GIRALDO","05","05306"
"GIRARDOTA","05","05308"
"GÓMEZ PLATA","05","05310"
"GRANADA","05","05313"
"GUADALUPE","05","05315"
"GUARNE","05","05318"
"GUATAPÉ","05","05321"
"HELICONIA","05","05347"
"HISPANIA","05","05353"
"ITAGÜÍ","05","05360"
"ITUANGO","05","05361"
"JARDÍN","05","05364"
"JERICÓ","05","05368"
"LA CEJA","05","05376"
"LA ESTRELLA","05","05380"
"LA PINTADA","05","05390"
"LA UNIÓN","05","05400"
"LIBORINA","05","05411"
"MACEO","05","05425"
"MARINILLA","05","05440"
"MONTEBELLO","05","05467"
"MURINDÓ","05","05475"
"MUTATÁ","05","05480"
"NARIÑO","05","05483"
"NECOCLÍ","05","05490"
"NECHÍ","05","05495"
"OLAYA","05","05501"
"PEÑOL","05","05541"
"PEQUE","05","05543"
"PUEBLORRICO","05","05576"
"PUERTO BERRÍO","05","05579"
"PUERTO NARE","05","05585"
"PUERTO TRIUNFO","05","05591"
"REMEDIOS","05","05604"
"RETIRO","05","05607"
"RIONEGRO","05","05615"
"SABANALARGA","05","05628"
